timestamp,evento,consulta,latencia_segundos
2026-05-31 20:54:47,MISS,q2:zona_id=Z4&confidence_min=0.7,0.0517
2026-05-31 20:54:48,MISS,q5:zona_id=Z5&bins=5,0.0158
2026-05-31 20:54:48,MISS,q3:zona_id=Z5,0.0157
2026-05-31 20:54:49,HIT,q3:zona_id=Z5,0.0008
2026-05-31 20:54:49,MISS,q1:zona_id=Z2&confidence_min=0.6,0.0215
2026-05-31 20:54:49,MISS,q3:zona_id=Z1,0.0160
2026-05-31 20:54:49,MISS,q3:zona_id=Z3,0.0119
2026-05-31 20:54:49,MISS,q4:zona_a=Z2&zona_b=Z1,0.0143
2026-05-31 20:54:49,HIT,q2:zona_id=Z4&confidence_min=0.7,0.0005
2026-05-31 20:54:49,MISS,q2:zona_id=Z2&confidence_min=0.7,0.0144
2026-05-31 20:54:49,MISS,q4:zona_a=Z5&zona_b=Z1,0.0183
2026-05-31 20:54:50,MISS,q5:zona_id=Z2&bins=5,0.0219
2026-05-31 20:54:50,MISS,q2:zona_id=Z5&confidence_min=0.7,0.0201
2026-05-31 20:54:50,MISS,q2:zona_id=Z3&confidence_min=0.7,0.0251
2026-05-31 20:54:50,MISS,q5:zona_id=Z4&bins=5,0.0229
2026-05-31 20:54:50,HIT,q5:zona_id=Z4&bins=5,0.0006
2026-05-31 20:54:50,MISS,q3:zona_id=Z2,0.0184
2026-05-31 20:54:51,MISS,q4:zona_a=Z3&zona_b=Z1,0.0391
2026-05-31 20:54:52,MISS,q1:zona_id=Z1&confidence_min=0.6,0.0221
2026-05-31 20:54:53,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:54:53,HIT,q2:zona_id=Z4&confidence_min=0.7,0.0006
2026-05-31 20:54:53,MISS,q5:zona_id=Z3&bins=5,0.0499
2026-05-31 20:54:53,HIT,q3:zona_id=Z3,0.0007
2026-05-31 20:54:53,MISS,q4:zona_a=Z4&zona_b=Z1,0.0252
2026-05-31 20:54:56,HIT,q2:zona_id=Z5&confidence_min=0.7,0.0004
2026-05-31 20:54:57,MISS,q5:zona_id=Z1&bins=5,0.0144
2026-05-31 20:54:57,MISS,q1:zona_id=Z4&confidence_min=0.6,0.0162
2026-05-31 20:54:57,MISS,q3:zona_id=Z4,0.0104
2026-05-31 20:54:57,HIT,q5:zona_id=Z2&bins=5,0.0005
2026-05-31 20:54:57,HIT,q5:zona_id=Z5&bins=5,0.0006
2026-05-31 20:54:57,HIT,q5:zona_id=Z3&bins=5,0.0009
2026-05-31 20:54:57,HIT,q2:zona_id=Z5&confidence_min=0.7,0.0006
2026-05-31 20:54:57,MISS,q4:zona_a=Z1&zona_b=Z1,0.0257
2026-05-31 20:54:57,HIT,q5:zona_id=Z4&bins=5,0.0006
2026-05-31 20:54:57,HIT,q3:zona_id=Z4,0.0007
2026-05-31 20:54:57,HIT,q3:zona_id=Z1,0.0011
2026-05-31 20:54:57,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0011
2026-05-31 20:54:57,MISS,q1:zona_id=Z5&confidence_min=0.6,0.0129
2026-05-31 20:54:58,HIT,q2:zona_id=Z5&confidence_min=0.7,0.0005
2026-05-31 20:54:58,HIT,q3:zona_id=Z5,0.0005
2026-05-31 20:54:58,HIT,q1:zona_id=Z2&confidence_min=0.6,0.0006
2026-05-31 20:54:58,HIT,q5:zona_id=Z2&bins=5,0.0005
2026-05-31 20:54:58,HIT,q3:zona_id=Z3,0.0004
2026-05-31 20:54:58,HIT,q3:zona_id=Z4,0.0006
2026-05-31 20:54:58,MISS,q2:zona_id=Z1&confidence_min=0.7,0.0109
2026-05-31 20:54:58,HIT,q3:zona_id=Z4,0.0005
2026-05-31 20:54:58,HIT,q3:zona_id=Z1,0.0007
2026-05-31 20:54:59,HIT,q5:zona_id=Z3&bins=5,0.0005
2026-05-31 20:55:00,HIT,q3:zona_id=Z3,0.0004
2026-05-31 20:55:00,HIT,q3:zona_id=Z2,0.0008
2026-05-31 20:55:00,HIT,q5:zona_id=Z1&bins=5,0.0005
2026-05-31 20:55:02,HIT,q2:zona_id=Z2&confidence_min=0.7,0.0005
2026-05-31 20:55:02,HIT,q4:zona_a=Z3&zona_b=Z1,0.0026
2026-05-31 20:55:02,HIT,q2:zona_id=Z3&confidence_min=0.7,0.0006
2026-05-31 20:55:02,HIT,q5:zona_id=Z4&bins=5,0.0021
2026-05-31 20:55:02,HIT,q5:zona_id=Z1&bins=5,0.0006
2026-05-31 20:55:02,HIT,q5:zona_id=Z5&bins=5,0.0006
2026-05-31 20:55:03,HIT,q4:zona_a=Z1&zona_b=Z1,0.0005
2026-05-31 20:55:03,MISS,q1:zona_id=Z3&confidence_min=0.6,0.0119
2026-05-31 20:55:03,HIT,q2:zona_id=Z4&confidence_min=0.7,0.0010
2026-05-31 20:55:03,HIT,q3:zona_id=Z3,0.0005
2026-05-31 20:55:03,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0005
2026-05-31 20:55:04,HIT,q4:zona_a=Z4&zona_b=Z1,0.0005
2026-05-31 20:55:05,HIT,q2:zona_id=Z3&confidence_min=0.7,0.0005
2026-05-31 20:55:07,HIT,q5:zona_id=Z3&bins=5,0.0004
2026-05-31 20:55:07,HIT,q3:zona_id=Z4,0.0012
2026-05-31 20:55:07,HIT,q5:zona_id=Z1&bins=5,0.0005
2026-05-31 20:55:07,HIT,q4:zona_a=Z1&zona_b=Z1,0.0004
2026-05-31 20:55:07,HIT,q4:zona_a=Z2&zona_b=Z1,0.0006
2026-05-31 20:55:07,HIT,q4:zona_a=Z3&zona_b=Z1,0.0005
2026-05-31 20:55:07,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0005
2026-05-31 20:55:07,HIT,q2:zona_id=Z3&confidence_min=0.7,0.0005
2026-05-31 20:55:07,HIT,q3:zona_id=Z1,0.0006
2026-05-31 20:55:07,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0009
2026-05-31 20:55:07,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0007
2026-05-31 20:55:07,HIT,q1:zona_id=Z3&confidence_min=0.6,0.0005
2026-05-31 20:55:08,HIT,q2:zona_id=Z2&confidence_min=0.7,0.0008
2026-05-31 20:55:11,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:11,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0013
2026-05-31 20:55:11,HIT,q1:zona_id=Z2&confidence_min=0.6,0.0006
2026-05-31 20:55:13,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:55:13,HIT,q4:zona_a=Z1&zona_b=Z1,0.0004
2026-05-31 20:55:13,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0007
2026-05-31 20:55:13,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:16,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0013
2026-05-31 20:55:16,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0007
2026-05-31 20:55:16,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0012
2026-05-31 20:55:17,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:17,HIT,q1:zona_id=Z3&confidence_min=0.6,0.0004
2026-05-31 20:55:17,HIT,q5:zona_id=Z2&bins=5,0.0005
2026-05-31 20:55:17,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:17,HIT,q5:zona_id=Z2&bins=5,0.0008
2026-05-31 20:55:18,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:18,HIT,q4:zona_a=Z2&zona_b=Z1,0.0007
2026-05-31 20:55:18,HIT,q4:zona_a=Z1&zona_b=Z1,0.0006
2026-05-31 20:55:18,HIT,q3:zona_id=Z1,0.0005
2026-05-31 20:55:18,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0008
2026-05-31 20:55:18,HIT,q3:zona_id=Z1,0.0006
2026-05-31 20:55:18,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:55:18,HIT,q3:zona_id=Z4,0.0018
2026-05-31 20:55:18,HIT,q3:zona_id=Z5,0.0006
2026-05-31 20:55:18,HIT,q2:zona_id=Z4&confidence_min=0.7,0.0018
2026-05-31 20:55:19,HIT,q3:zona_id=Z1,0.0004
2026-05-31 20:55:19,HIT,q2:zona_id=Z1&confidence_min=0.7,0.0008
2026-05-31 20:55:19,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0009
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:20,HIT,q4:zona_a=Z1&zona_b=Z1,0.0005
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0011
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0007
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:55:20,HIT,q1:zona_id=Z4&confidence_min=0.6,0.0031
2026-05-31 20:55:20,HIT,q4:zona_a=Z1&zona_b=Z1,0.0009
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0007
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0016
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:20,HIT,q3:zona_id=Z2,0.0009
2026-05-31 20:55:20,HIT,q3:zona_id=Z2,0.0007
2026-05-31 20:55:20,HIT,q2:zona_id=Z2&confidence_min=0.7,0.0008
2026-05-31 20:55:20,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:23,HIT,q4:zona_a=Z1&zona_b=Z1,0.0004
2026-05-31 20:55:23,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0005
2026-05-31 20:55:23,HIT,q5:zona_id=Z5&bins=5,0.0004
2026-05-31 20:55:23,HIT,q5:zona_id=Z1&bins=5,0.0006
2026-05-31 20:55:23,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:55:23,HIT,q1:zona_id=Z5&confidence_min=0.6,0.0008
2026-05-31 20:55:23,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0010
2026-05-31 20:55:24,HIT,q4:zona_a=Z1&zona_b=Z1,0.0006
2026-05-31 20:55:24,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:24,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0006
2026-05-31 20:55:25,HIT,q4:zona_a=Z1&zona_b=Z1,0.0004
2026-05-31 20:55:25,HIT,q5:zona_id=Z5&bins=5,0.0005
2026-05-31 20:55:25,HIT,q1:zona_id=Z1&confidence_min=0.6,0.0004
2026-05-31 20:55:25,HIT,q1:zona_id=Z3&confidence_min=0.6,0.0004
